Catalog.ID	days	family	generation	gender
G_F04	229	-	P0	f
G_M03	294	-	P0	m
G016	289	1	F2	f
G018	267	7	F1	f
G019	230	10_16	F1	f
G027	22	8	F2	na
G037	276	1	F2	f
G038	238	1	F2	m
G047	212	8	F1	f
G050	135	1	F1	f
G051	370	2	F1	m
G054	307	2	F1	f
G060	175	10	F1	m
G064	268	1.1_1.2	F1	f
G080	313	8_1.2	F1	m
G082	112	8	F2	m
G083	305	1	F2	m
G086	106	7	F2	f
G090	103	7	F2	f
G096	344	7_7.1	F1	m
G102	380	1	F2	m
G105	151	1	F2	f
G110	114	7	F2	f
G112	137	7	F2	f
G113	207	8	F2	m
G116	105	14	F2	m
G118	319	2	F2	m
G120	354	4	F1	m
G121	128	7	F2	m
G125	327	5	F2	m
G130	213	8	F2	m
G136	235	13	F2	m
G146	187	7	F2	f
G147	174	7	F2	m
G148	365	2	F2	f
G151	242	8	F2	f
G153	329	13	F1	m
G156	196	7	F2	f
G157	258	14	F1	f
G161	196	7	F2	m
G165	328	13	F1	f
G167	219	8	F2	f
G168	209	7	F2	m
G178	273	13	F2	m
G179	193	14	F2	f
G181	295	2	F2	f
G182	223	7	F2	m
G183	81	14	F2	m
G184	190	14	F2	f
G185	245	8	F2	m
G186	211	7	F2	m
G187	225	7	F2	m
G190	251	14	F2	f
G191	210	8	F2	f
G192	231	1.1	F2	f
G195	215	7	F2	f
G196	269	7	F2	m
G198	199	8	F2	f
G199	305	8	F2	m
G204	217	14	F2	f
G206	306	1	F2	m
G207	229	7	F2	f
G208	218	14	F2	m
G209	230	7	F2	m
G214	263	7	F2	f
G215	266	7	F2	m
G216	237	7	F2	f
G217	245	7	F2	m
G219	233	1.1	F2	m
G220	107	14	F2	m
G221	276	7	F2	m
G223	239	7	F2	f
G224	274	7	F2	m
G226	258	7	F2	m
G228	238	8	F2	m
G229	281	8	F2	m
G231	434	16	F1	m
G232	296	7	F2	m
G235	277	7	F2	f
G236	312	2	F2	m
G237	208	14	F2	f
G239	284	2	F2	m
G240	284	8	F2	m
G241	250	1.1	F2	m
G244	244	14	F2	m
G246	187	14	F2	m
G247	338	8	F2	m
G248	269	7	F2	m
G249	279	8	F2	m
G256	275	1.1	F2	f
G258	341	14	F1	m
G261	272	8	F2	m
G263	347	8	F2	m
G266	265	7	F2	m
G267	265	8	F2	f
G270	271	8	F2	m
G271	274	7	F2	f
G273	339	7	F2	m
G276	268	7	F2	f
G278	328	8	F2	m
G279	310	7	F2	m
G281	333	7	F2	m
G283	298	7	F2	m
G285	308	8	F2	m
G288	302	1.1	F2	m
G289	284	14	F2	f
G290	347	7	F2	m
G291	314	5	F2	f
G293	295	7	F2	m
G294	318	7	F2	m
G295	351	7	F2	m
G296	353	7	F2	m
G297	352	7	F2	m
G298	336	5	F2	m
G300	340	2	F2	m
G302	349	8	F2	m
G304	306	14	F2	f
G306	290	1.1	F2	f
G307	306	14	F2	f
G308	310	7	F2	m
G309	327	7	F2	m
G312	350	7	F2	m
G314	400	7	F2	m
G315	325	8	F2	m
G316	339	7	F2	m
G317	421	8	F2	f
G318	377	9	F2	m
G321	53	7	F2	m
G322	266	13	F2	m
G327	356	7	F2	m
G328	344	1.1	F2	m
G330	243	14	F2	m
G331	309	14	F2	m
G333	294	8	F2	f
G336	366	8	F2	m
G338	320	8	F2	f
G339	346	1.1	F2	m
G340	402	2	F2	f
G342	263	14	F2	m
G344	295	14	F2	m
G346	406	7	F2	m
G347	318	14	F2	f
G349	322	14	F2	m
G350	350	14	F2	m
G351	248	14	F2	m
G352	360	1.1	F2	m
G353	333	7	F2	m
G354	284	8	F2	m
G358	304	1.1	F2	f
G359	352	8	F2	m
G360	104	14	F2	f
G362	323	1.1	F2	m
G364	372	1.1	F2	m
G365	385	7	F2	m
G367	387	7	F2	m
G368	284	7	F2	m
G369	321	13	F2	f
G371	412	7	F2	m
G374	338	7	F2	m
G375	303	16	F2	m
G376	307	14	F2	m
G378	323	13	F2	m
G379	327	14	F2	m
G380	406	14	F2	m
G381	380	8	F2	m
G383	220	14	F2	m
G384	333	14	F2	m
G385	441	7	F2	m
G388	284	13	F2	f
G390	306	8	F2	m
G391	301	14	F2	m
G392	365	7	F2	f
G393	347	13	F2	f
G396	436	14	F2	m
G397	316	14	F2	f
G400	353	14	F2	m
G401	379	7	F2	m
G402	453	14	F2	f
G404	452	13	F2	m
G405	357	14	F2	m
G406	183	14	F2	f
G407	199	14	F2	f
G408	380	14	F2	m
G409	382	14	F2	m
G413	344	7	F2	m
G423	333	14	F2	m
G424	75	16	F2	m
G425	466	14	F2	m
G426	348	14	F2	f
G427	183	14	F2	f
G428	172	16	F2	m
G429	319	14	F2	m
G430	181	14	F2	f
G431	165	14	F2	f
G432	246	14	F2	m
G041	49	7	F2	f
G085	59	8	F2	f
G104	54	2	F2	f
G107	118	1.1	F2	m
G138	162	7	F2	f
G144	82	13	F2	m
G163	113	14	F2	m
G164	56	14	F2	f
G166	59	14	F2	m
G169	88	14	F2	m
G172	59	14	F2	f
G174	62	14	F2	m
G188	165	7	F2	f
G212	124	7	F2	m
G243	122	14	F2	m
G245	233	1.1	F2	m
G262	136	14	F2	m
G264	256	8	F2	m
G272	249	14	F2	m
G280	178	7	F2	m
G282	208	7	F2	f
G292	201	8	F2	f
G299	254	7	F2	m
G320	239	14	F2	m
G332	198	14	F2	m
G345	251	14	F2	f
G399	187	14	F2	m
G415	160	14	F2	m
G454	248	14	F2	m
G457	199	14	F2	m
