Het,days
0.828165375,238
0.450888003,305
0.519421747,380
0.4969996,151
0.393146181,306
0.478935125,231
0.505046682,233
0.406139154,250
0.530216802,275
0.436033015,302
0.427167113,290
0.382696629,346
0.507355195,360
0.440996709,304
0.415750371,372
0.499268412,118
0.503835383,233
0.45968246,235
0.48707559,273
0.521975309,266
0.504535708,284
0.485414395,347
0.485159817,452
0.504074357,82
0.433407634,193
0.476413255,81
0.447831552,190
0.42614953,251
0.475149358,218
0.396907216,107
0.420174849,208
0.468766901,187
0.48380372,284
0.493612597,306
0.460416667,309
0.429995787,263
0.467765191,295
0.438786911,318
0.469401571,322
0.708077081,350
0.344667902,104
0.418732324,307
0.416084788,327
0.447164282,406
0.405813234,220
0.471540537,333
0.47957773,301
0.530275468,436
0.538273825,316
0.491658489,453
0.487323464,357
0.515132409,199
0.469814629,380
0.471169994,382
0.429169044,333
0.409491607,348
0.434755528,183
0.542936288,319
0.494484351,165
0.541465826,246
0.515570033,113
0.601843884,56
0.400341387,59
0.503722397,88
0.479994787,122
0.454204022,136
0.570425139,249
0.533486708,239
0.552289282,198
0.531987382,251
0.425162991,160
0.438474388,248
0.494282238,199
0.479790713,303
0.437001595,75
0.425136116,172
0.369002822,319
0.462527392,365
0.410579345,295
0.408783784,312
0.369918154,284
0.440266127,340
0.422918487,402
0.815136476,327
0.439755974,314
0.468398268,336
0.505661548,103
0.516548305,114
0.413961467,137
0.446958982,128
0.450955892,187
0.476392573,174
0.552180685,196
0.498792271,196
0.420911905,209
0.454522454,223
0.477494577,211
0.514067524,225
0.421002966,215
0.522151899,269
0.4591267,229
0.544378698,230
0.529029887,263
0.51318408,266
0.469204448,237
0.549522094,245
0.430871212,276
0.551217575,239
0.362689927,274
0.401993355,258
0.490667773,296
0.521676301,277
0.415905783,269
0.466174035,274
0.473268943,339
0.434428795,268
0.415134845,310
0.524068323,333
0.592236949,298
0.393466201,347
0.423540105,295
0.466061828,318
0.355555556,353
0.46251522,310
0.499360205327
0.42464176,350
0.425955512,339
0.48192933,53
0.471888329,356
0.459846414,406
0.441468858,333
0.477710233,385
0.488897348,387
0.538883923,284
0.458358571,412
0.444543351,338
0.480804628,441
0.358464888,365
0.494752034,344
0.403915392,49
0.471212666,162
0.379862414,165
0.486192588,124
0.421526587,178
0.47584,208
0.457772144,254
0.485980164,112
0.470844547,207
0.407370518,213
0.444569817,242
0.532718435,219
0.47661587,245
0.53680363,210
0.491026231,199
0.511659395,305
0.462702061,238
0.450364124,281
0.404781004,284
0.496589802,279
0.38564618,272
0.504930006,347
0.465452261,271
0.397218601,308
0.400213258,349
0.491891892,325
0.486166008,421
0.459608245,294
0.570100409,366
0.404422254,320
0.393949199,284
0.509807074,352
0.415170162,380
0.423952312,306
0.393598616,59
0.376047904,256
0.522675737,201
