days,status,group,gender,color,weight,#ID,comments
19,1,F2,na,na,0.1,3,0
47,1,F2,na,na,0.18,4,0
25,1,F2,na,na,0.1,5,0
19,1,F2,na,na,0.1,7,0
20,1,F2,na,na,0.05,8,0
20,1,F2,na,na,0.05,15,0
25,1,F2,na,na,0.16,22,0
26,1,F2,na,na,0.11,23,0
47,1,F2,na,na,0.15,25,0
22,1,F2,na,na,0.05,26,0
23,1,F2,na,na,0.11,28,0
25,1,F2,na,na,0.05,32,0
26,1,F2,na,na,0.13,36,0
30,1,F2,na,na,0.1,52,0
47,1,F2,na,na,0.13,61,0
35,1,F2,na,na,0.1,65,0
18,1,F2,na,na,0.1,74,0
67,1,F2,na,na,0.18,84,0
79,1,F2,na,na,0.13,91,0
25,1,F2,na,na,0.15,95,0
22,1,F2,na,na,0.15,97,0
20,1,F2,na,na,0.1,99,0
35,1,F2,na,na,0.11,115,0
41,1,F2,na,na,0.05,122,0
36,1,F2,na,na,0.39,142,0
48,1,F2,na,na,0.12,143,0
32,1,F2,na,na,0.14,150,0
62,1,F2,na,na,0.25,160,0
45,1,F2,na,na,0.13,193,0
46,1,F2,na,na,0.1,194,0
63,1,F2,na,na,0.2,210,0
27,1,F2,na,na,0.9,251,0
27,1,F2,na,na,0.7,252,0
32,1,F2,na,na,0.11,337,0
37,1,F2,na,na,0.04,366,0
14,1,F2,na,na,0.02,373,0
23,1,F2,na,na,0.07,377,0
35,1,F2,na,na,0.02,394,0
66,1,F2,m,na,0.26,14,0
41,1,F2,m,r,0.14,20,0
238,1,F2,m,y,0.67,38,0
28,1,F2,m,y,na,62,0
112,1,F2,m,y,0.81,82,0
305,1,F2,m,ybr,1.48,83,0
79,1,F2,m,na,0.34,87,0
28,1,F2,m,r,0.22,100,0
380,1,F2,m,ybr,1.21,102,0
118,1,F2,m,r,2.43,107,0
188,1,F2,m,yb,2.46,111,0
207,1,F2,m,ybr,2.39,113,0
35,1,F2,m,rb,0.26,114,0
319,1,F2,m,ybr,2.12,118,0
128,1,F2,m,ybr,2.05,121,0
35,1,F2,m,r,0.18,124,0
327,1,F2,m,r,2.02,125,0
213,1,F2,m,y,0.76,130,0
50,1,F2,m,r,0.24,131,0
228,1,F2,m,ybr,1.53,132,0
64,1,F2,m,y,0.48,134,0
235,1,F2,m,r,2.72,136,0
227,1,F2,m,y,2.55,141,0
82,1,F2,m,y,0.36,144,0
174,1,F2,m,ybr,2.58,147,0
196,1,F2,m,yr,1.35,161,0
113,1,F2,m,yr,0.83,163,0
59,1,F2,m,yb,0.81,166,0
209,1,F2,m,yb,1.42,168,m
88,1,F2,m,ybr,0.71,169,0
62,1,F2,m,yb,0.34,174,0
30,1,F2,m,yb,0.19,175,0
30,1,F2,m,yb,0.19,176,0
273,1,F2,m,ybr,3.66,178,0
223,1,F2,m,ybr,1.1,182,0
81,1,F2,m,r,1.08,183,0
245,1,F2,m,ybr,1.85,185,0
211,1,F2,m,ybr,3.16,186,0
225,1,F2,m,ybr,1.67,187,0
92,1,F2,m,ybr,0.82,189,0
269,1,F2,m,yb,1.84,196,0
305,1,F2,m,r,1.47,199,0
106,1,F2,m,ybb,0.67,205,0
306,1,F2,m,ybb,1.89,206,0
218,1,F2,m,ybr,0.71,208,0
230,1,F2,m,ybb,1.38,209,0
124,1,F2,m,ybr,1.16,212,0
140,1,F2,m,yb,0.46,213,0
266,1,F2,m,ybb,2.69,215,0
245,1,F2,m,r,1.83,217,0
233,1,F2,m,ybr,1.42,219,0
107,1,F2,m,r,0.84,220,0
276,1,F2,m,ybrb,1.98,221,0
274,1,F2,m,ybrb,1.52,224,0
258,1,F2,m,ybr,2.05,226,0
238,1,F2,m,ybr,2.2,228,0
281,1,F2,m,ybr,1.21,229,0
296,1,F2,m,ybb,1.83,232,0
312,1,F2,m,r,1.97,236,0
284,1,F2,m,ybr,1.92,239,0
284,1,F2,m,ybr,1.06,240,0
250,1,F2,m,ybr,1.94,241,0
122,1,F2,m,ybb,1.41,243,0
110,1,F2,m,r,0.86,244,0
233,1,F2,m,r,0.7,245,0
187,1,F2,m,r,2.41,246,0
338,1,F2,m,r,1.01,247,0
269,1,F2,m,ybb,1.6,248,0
279,1,F2,m,ybr,3.14,249,0
126,1,F2,m,ybr,0.74,253,0
129,1,F2,m,yb,1.37,255,0
258,1,F2,m,yb,1.53,259,0
161,1,F2,m,ybr,0.82,260,0
272,1,F2,m,r,2.41,261,0
136,1,F2,m,yr,1.17,262,0
347,1,F2,m,ybr,2.74,263,0
256,1,F2,m,rb,1.55,264,0
265,1,F2,m,yb,2.85,266,0
271,1,F2,m,yb,2.64,270,0
249,1,F2,m,ybr,2.46,272,0
339,1,F2,m,r,1.47,273,0
170,1,F2,m,yb,2.17,275,0
328,1,F2,m,ybr,2.44,278,0
310,1,F2,m,ybr,2.24,279,0
178,1,F2,m,r,1.81,280,0
333,1,F2,m,ybb,1.5,281,0
298,1,F2,m,ybr,1.94,283,0
308,1,F2,m,ybb,1.88,285,m
260,1,F2,m,ybr,2.54,286,0
120,1,F2,m,ybb,1.35,287,0
302,1,F2,m,rb,1.78,288,0
347,1,F2,m,yb,0.97,290,0
295,1,F2,m,ybr,2.04,293,0
318,1,F2,m,ybb,1.9,294,0
351,1,F2,m,ybb,1.31,295,m
353,1,F2,m,ybb,2.67,296,0
352,1,F2,m,ybr,2.53,297,0
336,1,F2,m,r,2.32,298,0
254,1,F2,m,r,0.96,299,0
340,1,F2,m,ybr,1.54,300,m
349,1,F2,m,ybr,1.89,302,m
136,1,F2,m,r,1.29,303,0
138,1,F2,m,yb,0.4,305,0
310,1,F2,m,ybr,1.66,308,0
327,1,F2,m,ybr,1.68,309,0
350,1,F2,m,ybb,1.8,312,0
400,1,F2,m,ybb,2.21,314,0
325,1,F2,m,ybb,0.94,315,0
339,1,F2,m,r,1.95,316,0
377,1,F2,m,ybr,2.69,318,0
239,1,F2,m,ybr,0.95,320,0
53,1,F2,m,r,0.48,321,0
266,1,F2,m,r,1.15,322,0
87,1,F2,m,ybr,1.1,323,0
98,1,F2,m,r,0.25,325,0
174,1,F2,m,ybb,0.39,326,0
356,1,F2,m,ybr,1.34,327,0
344,1,F2,m,yb,2.11,328,0
243,1,F2,m,yb,1.49,330,0
309,1,F2,m,yb,2.38,331,0
198,1,F2,m,ybr,1.5,332,0
467,1,F2,m,r,2.18,335,0
366,1,F2,m,yr,2.79,336,0
346,1,F2,m,yb,3.01,339,0
263,1,F2,m,yb,1.52,342,0
63,1,F2,m,r,0.11,343,0
295,1,F2,m,yb,2.36,344,0
406,1,F2,m,ybr,2.06,346,0
322,1,F2,m,yb,1.85,349,m
350,1,F2,m,r,2.34,350,0
248,1,F2,m,ybr,1.66,351,0
360,1,F2,m,ybr,1.62,352,0
333,1,F2,m,r,1.61,353,0
284,1,F2,m,r,0.97,354,0
169,1,F2,m,ybr,0.65,356,0
282,1,F2,m,ybr,1.61,357,0
352,1,F2,m,r,1.32,359,0
323,1,F2,m,r,1.23,362,0
372,1,F2,m,yb,2.01,364,m
385,1,F2,m,yb,2.2,365,m
387,1,F2,m,yb,0.92,367,m
284,1,F2,m,r,0.94,368,0
433,1,F2,m,ybr,2.02,370,0
412,1,F2,m,yb,1.26,371,m
338,1,F2,m,r,0.92,374,0
303,1,F2,m,ybr,1.68,375,0
307,1,F2,m,yb,1.49,376,0
323,1,F2,m,r,1.26,378,0
327,1,F2,m,ybr,1.01,379,m
406,1,F2,m,ybr,1.4,380,0
380,1,F2,m,yb,1.38,381,m
65,1,F2,m,r,0.27,382,0
220,1,F2,m,yb,1.3,383,0
333,1,F2,m,r,1.6,384,0
441,1,F2,m,yb,1.44,385,m
261,1,F2,m,ybr,1.84,387,0
306,1,F2,m,yb,1.02,390,0
301,1,F2,m,r,1.6,391,0
436,1,F2,m,r,1.22,396,0
187,1,F2,m,y,0.43,399,0
353,1,F2,m,yb,2.52,400,m
379,1,F2,m,yb,2.2,401,m
452,1,F2,m,yb,1.76,404,m
357,1,F2,m,yr,1.12,405,0
380,1,F2,m,r,1,408,0
382,1,F2,m,ybr,1.01,409,0
140,1,F2,m,y,0.58,410,0
344,1,F2,m,yb,1.85,413,m
160,1,F2,m,ybr,0.72,415,0
254,1,F2,m,ybr,0.97,416,0
307,1,F2,m,ybr,1.43,417,0
329,1,F2,m,yb,1.18,418,m
400,1,F2,m,ybr,1.12,419,mr
493,1,F2,m,ybr,2.54,420,mr
335,1,F2,m,yb,1.04,421,m
333,1,F2,m,ybr,1.42,423,0
75,1,F2,m,y,0.15,424,0
466,1,F2,m,ybr,1.46,425,mr
172,1,F2,m,y,1.29,428,0
319,1,F2,m,ybr,1.31,429,0
246,1,F2,m,ybr,1.44,432,0
353,1,F2,m,ybr,1.24,433,0
306,1,F2,m,ybr,1.47,435,0
285,1,F2,m,yb,1.42,437,0
213,1,F2,m,y,1.09,439,0
329,1,F2,m,r,1.04,441,0
185,1,F2,m,r,0.99,442,0
457,1,F2,m,yb,1.84,443,0
200,1,F2,m,yr,1.2,444,0
239,1,F2,m,y,0.52,445,0
220,1,F2,m,yb,1.1,446,0
207,1,F2,m,yb,1,447,0
295,1,F2,m,ybr,1.02,450,0
248,1,F2,m,ybr,1.32,454,0
252,1,F2,m,yb,1.78,455,0
328,1,F2,m,r,1.24,456,0
199,1,F2,m,yb,1.15,457,0
293,1,F2,m,yb,1.21,458,0
225,1,F2,m,y,0.95,460,0
271,1,F2,m,ybr,0.91,461,0
295,1,F2,m,yb,1.31,462,0
267,1,F2,m,ybr,1.34,463,0
255,1,F2,m,y,1,465,0
262,1,F2,m,y,0.96,466,0
282,1,F2,m,r,1.41,468,0
70,1,F2,f,na,0.22,1,0
116,1,F2,f,na,0.45,9,0
61,1,F2,f,na,0.22,12,0
289,1,F2,f,na,0.91,16,0
62,1,F2,f,na,0.27,24,0
119,1,F2,f,na,0.42,30,0
215,1,F2,f,na,0.98,33,0
276,1,F2,f,na,0.38,37,0
49,1,F2,f,na,0.13,41,0
44,1,F2,f,na,0.15,55,0
32,1,F2,f,na,0.29,66,0
39,1,F2,f,na,0.2,69,0
76,1,F2,f,na,0.57,76,0
92,1,F2,f,na,0.35,77,0
74,1,F2,f,na,0.26,78,0
96,1,F2,f,na,0.35,79,0
80,1,F2,f,na,0.08,81,0
59,1,F2,f,na,0.22,85,0
106,1,F2,f,na,0.5,86,0
